Original Dish,Calories (Original),Healthier Alternative,Calories (Alternative),Calories Saved,Protein (Alt),Fat (Alt),Fibre (Alt),Why It's Better,Hawker Stall 1,Location 1,Hawker Stall 2,Location 2,Hawker Stall 3,Location 3,Recipe Name,Servings,Prep Time,Cook Time,Ingredients,Steps,Ingredient 1 (Buy),Where to Buy 1,Price 1,Ingredient 2 (Buy),Where to Buy 2,Price 2,Ingredient 3 (Buy),Where to Buy 3,Price 3,Ingredient 4 (Buy),Where to Buy 4,Price 4,Halal Status,Stall 1 Halal,Stall 2 Halal,Stall 3 Halal
Duck Rice (Braised),580,Soya Sauce Chicken with Brown Rice (no skin),400,180,35g,10g,3g,Removing skin cuts saturated fat; braised soy sauce chicken is leaner than duck; brown rice adds fibre,Sin Kee Famous Chicken Rice,"Margaret Drive Hawker Centre, #02-38",Liao Fan Soya Sauce Chicken,"Chinatown Complex, #02-126",Ah Five Hainanese Chicken Rice (soya option),"Clementi 448 Market, #01-18",Soya Sauce Chicken Brown Rice,2,5 min,30 min,2 chicken leg quarters (skin removed); 1 cup brown rice; 100ml dark soy sauce; 50ml light soy; 2 tbsp rock sugar; 1 star anise; 1 cinnamon stick; 3 slices ginger; 500ml water; hard-boiled egg; cucumber,Simmer soy sauces with sugar spices and water 5 min; add skinless chicken pieces and braise 25 min on low; cook brown rice separately; slice chicken and serve over rice with braising sauce (use sparingly); add egg and cucumber,Brown rice,"NTUC FairPrice, Sheng Siong",~$6.00/2.5kg,Chicken leg quarters (fresh),"NTUC FairPrice, Sheng Siong",~$5.00/pack,"Dark soy sauce, light soy sauce",NTUC FairPrice (Kwong Cheong Thye brand),~$3.00,"Star anise, cinnamon stick","NTUC FairPrice, Mustafa Centre",~$2.00,Not Halal,Not Halal,Not Halal,Not Halal
Economy Rice / Cai Fan (typical 2 meat 1 veg),700,Economy Rice (1 steamed meat + 2 veg + less rice),420,280,28g,12g,5g,Ask for less rice (saves 150 kcal); choose steamed/braised over fried; double up on leafy greens,Heng Hwa Economy Rice,"Bukit Merah View Food Centre, #01-44",Tian Tian Lai Mixed Vegetable Rice,"Beo Crescent Market, #01-20",Any HDB economy rice stall with HPB Healthier Choice logo,Island-wide (60+ hawker centres),Healthier Cai Fan Combo,1,0 min,0 min,Ask at stall: 1 steamed fish/tofu; 2 portions leafy veg (chye sim + long beans); less white rice or brown rice if available; skip gravy,Choose steamed egg or tofu over deep-fried meat; pick dark leafy veg over starchy items; ask for less rice or swap to brown; say no to gravy/curry on top; pair with clear soup if available,N/A - buy at hawker stall,Economy rice stalls island-wide,$3-4 per plate,Brown rice (if cooking at home),"NTUC FairPrice, Sheng Siong",~$6.00/2.5kg,Steamed fish (if cooking),"Wet market fishmonger, NTUC FairPrice",~$5-7,Leafy vegetables,"Any wet market, supermarket",~$1-2/bunch,Halal,Not Halal,Not Halal,Not Halal
Lor Mee (Braised Noodles),580,Ipoh Hor Fun (Soup),380,200,20g,8g,2g,Clear broth vs thick starchy gravy; much lower sodium; flat noodles are lighter,Li Xin Teochew Fishball Noodle,"Chinatown Complex, #02-52",Amoy St Hor Fun,"Amoy Street Food Centre, #02-79",78 Ipoh Hor Fun,"Blk 78 Telok Blangah Drive, #01-20",Ipoh Hor Fun with Chicken,2,5 min,15 min,200g fresh hor fun (flat rice noodles); 150g chicken breast (shredded); 800ml chicken stock; 1 cup bean sprouts; spring onion; light soy sauce; white pepper; sesame oil dash,Poach chicken breast in stock 15 min; shred chicken; blanch hor fun in hot water 30 sec; blanch bean sprouts; assemble in bowl with broth; top with chicken spring onion; season with soy pepper sesame oil,Fresh hor fun noodles,"Any wet market noodle stall, FairPrice chilled section",~$1.50,Chicken breast,"NTUC FairPrice, Sheng Siong, Cold Storage",~$4.50,Bean sprouts,Any wet market or supermarket,~$0.80,Light soy sauce,NTUC FairPrice,~$2.00,Not Halal,Not Halal,Not Halal,Not Halal
Prawn Mee (Fried),580,Prawn Mee Soup (clear broth),380,200,25g,10g,1g,Soup version has no frying; rich prawn broth keeps flavour; less oil and sodium,545 Whampoa Prawn Noodles,"Blk 556 Balestier Road, #01-70",Beach Road Prawn Mee,370 East Coast Road,Blk 84 Marine Parade Prawn Mee,"Blk 84 Marine Parade Central, #01-197",Prawn Noodle Soup,2,15 min,20 min,300g fresh prawns (shell-on); 100g bee hoon + 100g yellow noodles; 1L water; 2 cloves garlic; rock sugar pinch; kangkong; bean sprouts; sambal on side; pork ribs (100g optional),Fry prawn heads/shells until red and fragrant; add water boil 15 min strain; add rock sugar for sweetness; cook noodles separately; poach fresh prawns 3 min; serve in bowl with kangkong bean sprouts and sambal on side,Fresh prawns (medium),"Tekka Market, NTUC FairPrice (seafood section)",~$8/300g,Bee hoon + yellow noodles,"NTUC FairPrice, any wet market noodle stall",~$1.50 each,Kangkong + bean sprouts,Any wet market,~$1.50,Rock sugar,NTUC FairPrice (baking section),~$2.00,Not Halal,Not Halal,Not Halal,Not Halal
Murtabak (Mutton),674,Chicken Shawarma Wrap (homemade),380,294,30g,14g,3g,Grilled chicken vs fried dough; whole wheat wrap adds fibre; yoghurt sauce instead of oil,Zam Zam Restaurant,697-699 North Bridge Road,Victory Restaurant,701 North Bridge Road,Singapore Zam Zam (newer outlet),Various locations,Healthier Chicken Shawarma Wrap,2,15 min,12 min,2 chicken breasts sliced thin; 2 wholemeal tortillas; 1 cup mixed salad; 1 tomato sliced; 1/2 cucumber sliced; Greek yoghurt (3 tbsp); 1 tsp cumin; 1 tsp paprika; 1/2 tsp turmeric; lemon juice; garlic,Marinate chicken with cumin paprika turmeric garlic and lemon 10 min; grill or pan-fry chicken with minimal oil 5-6 min; warm wholemeal tortillas; spread yoghurt sauce (yoghurt+garlic+lemon); layer chicken salad tomato cucumber; roll up tightly,Chicken breast,"NTUC FairPrice, Sheng Siong",~$4.50,Wholemeal tortilla wraps,"Cold Storage, FairPrice (bread section)",~$5.00/pack,Greek yoghurt,"NTUC FairPrice, Cold Storage",~$4.50,"Cumin, paprika, turmeric","Mustafa Centre, any supermarket",~$2-3,Halal,Halal,Halal,Halal
Claypot Rice,630,Steamed Brown Rice with Braised Chicken & Veg,400,230,30g,10g,4g,No charred lard crust; brown rice adds fibre; braised chicken is leaner than lap cheong,New Lucky Claypot Rice,"Chinatown Complex, #02-197",Lian He Ben Ji Claypot Rice,"Chinatown Complex, #02-198/199",Geylang Claypot Rice,"Blk 1 Geylang Serai, #01-10",Healthier Claypot-style Rice,2,10 min,30 min,1.5 cups brown rice; 200g chicken thigh (skinless); 2 tbsp dark soy; 1 tbsp oyster sauce; 1 tsp sesame oil; 1 cup kai lan (Chinese broccoli); 3 slices ginger; spring onion,Season chicken with dark soy oyster sauce ginger; cook brown rice in rice cooker; 5 min before done lay chicken on rice to steam; rest 5 min; blanch kai lan; serve topped with spring onion and dash of sesame oil,Brown rice,"NTUC FairPrice, Sheng Siong",~$6.00/2.5kg,Skinless chicken thigh,"NTUC FairPrice, Sheng Siong",~$4.00/pack,"Dark soy, oyster sauce",NTUC FairPrice (sauce aisle),~$3.00,Kai lan (Chinese broccoli),Any wet market or supermarket,~$1.50,Not Halal,Not Halal,Not Halal,Not Halal
Satay (10 sticks with peanut sauce),700,Chicken Satay (5 sticks) with Cucumber Salad,350,350,28g,14g,2g,Half portion still satisfying; cucumber salad adds freshness; less peanut sauce cuts sugar/fat,Lau Pa Sat Satay Street,"18 Raffles Quay, Boon Tat St",Haron Satay,"East Coast Lagoon Food Village, #01-28",Kwang Satay,"Old Airport Road Food Centre, #01-52",Grilled Chicken Satay (Healthier),2,20 min,10 min,300g chicken breast cut into strips; 10 bamboo skewers; marinade: 1 tbsp turmeric 1 tsp cumin 1 tbsp lemongrass paste 1 tsp honey 1 tbsp light soy; cucumber-onion salad; reduced peanut dip: 2 tbsp peanut butter 1 tbsp water 1 tsp lime juice,Thread chicken onto soaked skewers; marinate 15 min; grill or pan-fry 3-4 min each side; make salad with cucumber onion and vinegar dressing; thin peanut butter with water and lime for dipping; serve 5 sticks per person with salad,Chicken breast,"NTUC FairPrice, Sheng Siong",~$4.50,Bamboo skewers,"NTUC FairPrice (cooking aisle), Daiso",~$2.00,"Turmeric, cumin, lemongrass paste","Mustafa Centre, NTUC FairPrice",~$3.00,Peanut butter (no sugar added),"NTUC FairPrice, Cold Storage",~$5.00,Halal,Halal,Halal,Not Halal
Popiah (Fried Spring Roll 3pcs),450,Fresh Popiah (2 rolls),188,262,8g,6g,4g,Not deep-fried; fresh skin is lower calorie; packed with turnip and vegetables,Kway Guan Huat Popiah,95 Joo Chiat Road,Crispy Popiah stall,"Tanjong Pagar Plaza Market, #02-26",Ann Chin Popiah,Multiple outlets island-wide,Fresh Popiah,4,30 min,20 min,8 fresh popiah skins; 300g jicama/turnip (shredded); 100g carrots (shredded); 100g bean sprouts; 2 eggs (scrambled); 50g dried shrimp; lettuce leaves; 2 cloves garlic; sweet sauce; chilli sauce; crushed peanuts,Stir-fry garlic then add jicama and carrots with splash of water; braise 15 min until soft; scramble eggs separately; toast dried shrimp; lay popiah skin flat add lettuce then turnip filling egg peanuts; fold sides and roll tightly; slice in half,Fresh popiah skin,"Kway Guan Huat (95 Joo Chiat Rd), NTUC FairPrice",~$3.00/pack,Jicama/bangkuang (turnip),"Any wet market, NTUC FairPrice",~$2.00,Dried shrimp,"NTUC FairPrice, Sheng Siong",~$3.50,Crushed peanuts,NTUC FairPrice (baking/snack section),~$2.50,Halal,Not Halal,Not Halal,Not Halal
Fried Carrot Cake (Black),480,Steamed Carrot Cake (White - less oil),250,230,8g,8g,1g,Steamed version uses 70% less oil; white version has no sweet dark sauce (lower sugar); still satisfying,Chai Tow Kway (Blk 16 stall),"Bedok South, Blk 16 Hawker Centre",He Zhong Carrot Cake,"Chinatown Complex, #02-176",Hougang 6 Miles Famous Fried Carrot Cake,"Blk 682 Hougang Ave 4, #01-340",Steamed Radish Cake (lighter),4,20 min,30 min,500g white radish (grated); 150g rice flour; 50g tapioca starch; 400ml water; 1 tsp salt; 2 tbsp dried shrimp; spring onion; 1 tbsp oil for pan (less than traditional),Grate radish and simmer in water 10 min; mix rice flour and tapioca starch with 200ml water to form batter; combine with cooked radish; pour into oiled tray and steam 30 min; cool and slice; pan-fry lightly with egg and chai poh (preserved radish),White radish (daikon),"Any wet market, NTUC FairPrice",~$1.50,Rice flour + tapioca starch,"NTUC FairPrice, Sheng Siong",~$2.00 each,Dried shrimp + preserved radish (chai poh),"NTUC FairPrice, Sheng Siong",~$3.00,Spring onion,Any wet market or supermarket,~$0.80,Not Halal,Not Halal,Not Halal,Not Halal
Rojak (Fried Dough Fritters type),550,Fruit Rojak (No Fried Dough),280,270,6g,12g,5g,Skip fried you tiao dough pieces; fruit and veg version keeps the prawn paste dressing; more vitamins,Toa Payoh Rojak,"Blk 93 Toa Payoh Lorong 4, #01-42",Balestier Road Hoover Rojak,685 Balestier Road,Dunman Road Rojak,"Blk 17 Dunman Food Centre, #01-22",Fresh Fruit & Veg Rojak,2,15 min,0 min,1 cup pineapple chunks; 1 cup cucumber; 1 cup jicama; 1 green mango (sliced); bean sprouts; tau pok (1 piece toasted); rojak sauce: 2 tbsp hae ko (prawn paste) + 1 tbsp lime juice + 1 tsp sugar + chilli padi; crushed peanuts,Prepare all fruits and vegetables into bite-sized pieces; toast tau pok lightly (skip you tiao); mix rojak sauce separately; toss everything together; top with crushed peanuts; serve immediately,Hae ko (prawn paste),"NTUC FairPrice, Sheng Siong (Asian sauces)",~$3.00,"Pineapple, cucumber, jicama",Any wet market or supermarket,~$3-4 total,Green mango,"Wet market fruit stalls, FairPrice",~$2.00,Tau pok (fried tofu puffs),"NTUC FairPrice, Sheng Siong",~$1.50,Halal,Not Halal,Not Halal,Not Halal
Nasi Briyani (Mutton),750,Nasi Briyani (Grilled Chicken + less rice),450,300,32g,14g,2g,Chicken is leaner than mutton; ask for less rice; skip deep-fried papadum; keep raita for probiotics,Allauddin's Briyani,"Tekka Centre, #01-245",Bismillah Briyani,50 Dunlop St,Islamic Restaurant,745 North Bridge Road,Lighter Chicken Briyani,2,15 min,30 min,1 cup basmati rice; 200g chicken breast; 2 tbsp yoghurt; 1 tsp garam masala; 1/2 tsp turmeric; 1 bay leaf; 2 cardamom pods; 1 cinnamon stick; 1 onion (sliced); 1 tomato; saffron strands; fresh mint; raita (yoghurt + cucumber),Marinate chicken in yoghurt and spices 10 min; saut̩ onion until golden; add chicken and cook 5 min; add rice and water (2:1 ratio) with whole spices; cook on low 20 min covered; rest 5 min; serve with raita and fresh mint; use only 3/4 cup rice per person,Basmati rice,"NTUC FairPrice, Mustafa Centre",~$5.00/1kg,Chicken breast,"NTUC FairPrice, Sheng Siong",~$4.50,"Garam masala, cardamom, cinnamon","Mustafa Centre (cheapest), NTUC FairPrice",~$3-5,Greek yoghurt (for marinade + raita),"NTUC FairPrice, Cold Storage",~$4.50,Halal,Halal,Halal,Halal
Mee Rebus,520,Mee Siam (less gravy),400,120,16g,12g,2g,Thinner tamarind gravy vs thick potato gravy; more veg toppings; tangy flavour with fewer calories,Rahim Muslim Food,"Amoy Street Food Centre, #02-68",Inspirasi (Mee Rebus),"Adam Road Food Centre, #01-31",Hajjah Maimunah,11 & 15 Jalan Pisang,Healthier Mee Siam,2,15 min,15 min,200g bee hoon; sauce: 2 tbsp chilli paste + 2 tbsp tamarind juice + 1 tbsp sugar + 200ml water; bean sprouts; hard-boiled egg; tau pok sliced; lime; chives; dried shrimp,Fry chilli paste with dried shrimp until fragrant; add tamarind juice sugar and water to form gravy; soak bee hoon in hot water 5 min drain; toss bee hoon in gravy until coated; top with bean sprouts sliced tau pok egg chives; squeeze lime over,Rice vermicelli (bee hoon),"NTUC FairPrice, Sheng Siong",~$1.50,Tamarind paste,"NTUC FairPrice, Mustafa Centre",~$2.50,Chilli paste (sambal),"NTUC FairPrice, Sheng Siong",~$3.00,"Tau pok, bean sprouts, chives",Any wet market or supermarket,~$2-3,Halal,Halal,Halal,Halal
Bak Kut Teh (Pork Ribs Soup),480,Bak Kut Teh (Lean Pork Loin version),320,160,30g,8g,1g,Lean pork loin instead of fatty ribs; skip the you tiao (fried dough); add more vegetables; still herbal and warming,Song Fa Bak Kut Teh,"11 New Bridge Road, #01-01",Founder Bak Kut Teh,347 Balestier Road,Ng Ah Sio Pork Ribs Eating House,208 Rangoon Road,Lean Pork Bak Kut Teh,2,10 min,40 min,300g lean pork loin (sliced); 1L water; 1 BKT spice packet (white pepper + garlic + star anise + cloves); 4 cloves garlic; 1 tbsp light soy; 1 tbsp dark soy; lettuce leaves; mushrooms,Boil water with BKT spice packet and garlic 10 min; add lean pork slices and simmer 30 min; add mushrooms last 5 min; season with soy sauces; serve with lettuce leaves on side instead of you tiao; pair with brown rice,Lean pork loin,"NTUC FairPrice, Sheng Siong",~$5.00/pack,BKT spice packet,"NTUC FairPrice, Sheng Siong",~$2.00,Light + dark soy sauce,NTUC FairPrice (sauce aisle),~$3.00,Mushrooms (shiitake or button),"NTUC FairPrice, Cold Storage",~$3.50,Not Halal,Not Halal,Not Halal,Not Halal
