original_dish,calories_original,healthier_alternative,calories_alternative,calories_saved,protein,fat,fibre,why_better,halal_status,stall_1_name,stall_1_location,stall_1_halal,stall_2_name,stall_2_location,stall_2_halal,recipe_name,prep_time,ingredients,steps
"Duck Rice (Braised)","580","Soya Sauce Chicken with Brown Rice (no skin)","400","180","35g","10g","3g","Removing skin cuts saturated fat; braised soy sauce chicken is leaner than duck; brown rice adds fibre","Not Halal","Sin Kee Famous Chicken Rice","Margaret Drive Hawker Centre, #02-38","Not Halal","Liao Fan Soya Sauce Chicken","Chinatown Complex, #02-126","Not Halal","Soya Sauce Chicken Brown Rice","5 min","2 chicken leg quarters (skin removed); 1 cup brown rice; 100ml dark soy sauce; 50ml light soy; 2 tbsp rock sugar; 1 star anise; 1 cinnamon stick; 3 slices ginger; 500ml water; hard-boiled egg; cucumber","Simmer soy sauces with sugar spices and water 5 min; add skinless chicken pieces and braise 25 min on low; cook brown rice separately; slice chicken and serve over rice with braising sauce (use sparingly); add egg and cucumber"
"Economy Rice / Cai Fan (typical 2 meat 1 veg)","700","Economy Rice (1 steamed meat + 2 veg + less rice)","420","280","28g","12g","5g","Ask for less rice (saves 150 kcal); choose steamed/braised over fried; double up on leafy greens","Halal","Heng Hwa Economy Rice","Bukit Merah View Food Centre, #01-44","Not Halal","Tian Tian Lai Mixed Vegetable Rice","Beo Crescent Market, #01-20","Not Halal","Healthier Cai Fan Combo","0 min","Ask at stall: 1 steamed fish/tofu; 2 portions leafy veg (chye sim + long beans); less white rice or brown rice if available; skip gravy","Choose steamed egg or tofu over deep-fried meat; pick dark leafy veg over starchy items; ask for less rice or swap to brown; say no to gravy/curry on top; pair with clear soup if available"
"Lor Mee (Braised Noodles)","580","Ipoh Hor Fun (Soup)","380","200","20g","8g","2g","Clear broth vs thick starchy gravy; much lower sodium; flat noodles are lighter","Not Halal","Li Xin Teochew Fishball Noodle","Chinatown Complex, #02-52","Not Halal","Amoy St Hor Fun","Amoy Street Food Centre, #02-79","Not Halal","Ipoh Hor Fun with Chicken","5 min","200g fresh hor fun (flat rice noodles); 150g chicken breast (shredded); 800ml chicken stock; 1 cup bean sprouts; spring onion; light soy sauce; white pepper; sesame oil dash","Poach chicken breast in stock 15 min; shred chicken; blanch hor fun in hot water 30 sec; blanch bean sprouts; assemble in bowl with broth; top with chicken spring onion; season with soy pepper sesame oil"
"Prawn Mee (Fried)","580","Prawn Mee Soup (clear broth)","380","200","25g","10g","1g","Soup version has no frying; rich prawn broth keeps flavour; less oil and sodium","Not Halal","545 Whampoa Prawn Noodles","Blk 556 Balestier Road, #01-70","Not Halal","Beach Road Prawn Mee","370 East Coast Road","Not Halal","Prawn Noodle Soup","15 min","300g fresh prawns (shell-on); 100g bee hoon + 100g yellow noodles; 1L water; 2 cloves garlic; rock sugar pinch; kangkong; bean sprouts; sambal on side; pork ribs (100g optional)","Fry prawn heads/shells until red and fragrant; add water boil 15 min strain; add rock sugar for sweetness; cook noodles separately; poach fresh prawns 3 min; serve in bowl with kangkong bean sprouts and sambal on side"
"Murtabak (Mutton)","674","Chicken Shawarma Wrap (homemade)","380","294","30g","14g","3g","Grilled chicken vs fried dough; whole wheat wrap adds fibre; yoghurt sauce instead of oil","Halal","Zam Zam Restaurant","697-699 North Bridge Road","Halal","Victory Restaurant","701 North Bridge Road","Halal","Healthier Chicken Shawarma Wrap","15 min","2 chicken breasts sliced thin; 2 wholemeal tortillas; 1 cup mixed salad; 1 tomato sliced; 1/2 cucumber sliced; Greek yoghurt (3 tbsp); 1 tsp cumin; 1 tsp paprika; 1/2 tsp turmeric; lemon juice; garlic","Marinate chicken with cumin paprika turmeric garlic and lemon 10 min; grill or pan-fry chicken with minimal oil 5-6 min; warm wholemeal tortillas; spread yoghurt sauce (yoghurt+garlic+lemon); layer chicken salad tomato cucumber; roll up tightly"
"Claypot Rice","630","Steamed Brown Rice with Braised Chicken & Veg","400","230","30g","10g","4g","No charred lard crust; brown rice adds fibre; braised chicken is leaner than lap cheong","Not Halal","New Lucky Claypot Rice","Chinatown Complex, #02-197","Not Halal","Lian He Ben Ji Claypot Rice","Chinatown Complex, #02-198/199","Not Halal","Healthier Claypot-style Rice","10 min","1.5 cups brown rice; 200g chicken thigh (skinless); 2 tbsp dark soy; 1 tbsp oyster sauce; 1 tsp sesame oil; 1 cup kai lan (Chinese broccoli); 3 slices ginger; spring onion","Season chicken with dark soy oyster sauce ginger; cook brown rice in rice cooker; 5 min before done lay chicken on rice to steam; rest 5 min; blanch kai lan; serve topped with spring onion and dash of sesame oil"
"Satay (10 sticks with peanut sauce)","700","Chicken Satay (5 sticks) with Cucumber Salad","350","350","28g","14g","2g","Half portion still satisfying; cucumber salad adds freshness; less peanut sauce cuts sugar/fat","Halal","Lau Pa Sat Satay Street","18 Raffles Quay, Boon Tat St","Halal","Haron Satay","East Coast Lagoon Food Village, #01-28","Halal","Grilled Chicken Satay (Healthier)","20 min","300g chicken breast cut into strips; 10 bamboo skewers; marinade: 1 tbsp turmeric 1 tsp cumin 1 tbsp lemongrass paste 1 tsp honey 1 tbsp light soy; cucumber-onion salad; reduced peanut dip: 2 tbsp peanut butter 1 tbsp water 1 tsp lime juice","Thread chicken onto soaked skewers; marinate 15 min; grill or pan-fry 3-4 min each side; make salad with cucumber onion and vinegar dressing; thin peanut butter with water and lime for dipping; serve 5 sticks per person with salad"
"Popiah (Fried Spring Roll 3pcs)","450","Fresh Popiah (2 rolls)","188","262","8g","6g","4g","Not deep-fried; fresh skin is lower calorie; packed with turnip and vegetables","Halal","Kway Guan Huat Popiah","95 Joo Chiat Road","Not Halal","Crispy Popiah stall","Tanjong Pagar Plaza Market, #02-26","Not Halal","Fresh Popiah","30 min","8 fresh popiah skins; 300g jicama/turnip (shredded); 100g carrots (shredded); 100g bean sprouts; 2 eggs (scrambled); 50g dried shrimp; lettuce leaves; 2 cloves garlic; sweet sauce; chilli sauce; crushed peanuts","Stir-fry garlic then add jicama and carrots with splash of water; braise 15 min until soft; scramble eggs separately; toast dried shrimp; lay popiah skin flat add lettuce then turnip filling egg peanuts; fold sides and roll tightly; slice in half"
"Fried Carrot Cake (Black)","480","Steamed Carrot Cake (White - less oil)","250","230","8g","8g","1g","Steamed version uses 70% less oil; white version has no sweet dark sauce (lower sugar); still satisfying","Not Halal","Chai Tow Kway (Blk 16 stall)","Bedok South, Blk 16 Hawker Centre","Not Halal","He Zhong Carrot Cake","Chinatown Complex, #02-176","Not Halal","Steamed Radish Cake (lighter)","20 min","500g white radish (grated); 150g rice flour; 50g tapioca starch; 400ml water; 1 tsp salt; 2 tbsp dried shrimp; spring onion; 1 tbsp oil for pan (less than traditional)","Grate radish and simmer in water 10 min; mix rice flour and tapioca starch with 200ml water to form batter; combine with cooked radish; pour into oiled tray and steam 30 min; cool and slice; pan-fry lightly with egg and chai poh (preserved radish)"
"Rojak (Fried Dough Fritters type)","550","Fruit Rojak (No Fried Dough)","280","270","6g","12g","5g","Skip fried you tiao dough pieces; fruit and veg version keeps the prawn paste dressing; more vitamins","Halal","Toa Payoh Rojak","Blk 93 Toa Payoh Lorong 4, #01-42","Not Halal","Balestier Road Hoover Rojak","685 Balestier Road","Not Halal","Fresh Fruit & Veg Rojak","15 min","1 cup pineapple chunks; 1 cup cucumber; 1 cup jicama; 1 green mango (sliced); bean sprouts; tau pok (1 piece toasted); rojak sauce: 2 tbsp hae ko (prawn paste) + 1 tbsp lime juice + 1 tsp sugar + chilli padi; crushed peanuts","Prepare all fruits and vegetables into bite-sized pieces; toast tau pok lightly (skip you tiao); mix rojak sauce separately; toss everything together; top with crushed peanuts; serve immediately"
"Nasi Briyani (Mutton)","750","Nasi Briyani (Grilled Chicken + less rice)","450","300","32g","14g","2g","Chicken is leaner than mutton; ask for less rice; skip deep-fried papadum; keep raita for probiotics","Halal","Allauddin's Briyani","Tekka Centre, #01-245","Halal","Bismillah Briyani","50 Dunlop St","Halal","Lighter Chicken Briyani","15 min","1 cup basmati rice; 200g chicken breast; 2 tbsp yoghurt; 1 tsp garam masala; 1/2 tsp turmeric; 1 bay leaf; 2 cardamom pods; 1 cinnamon stick; 1 onion (sliced); 1 tomato; saffron strands; fresh mint; raita (yoghurt + cucumber)","Marinate chicken in yoghurt and spices 10 min; saut̩ onion until golden; add chicken and cook 5 min; add rice and water (2:1 ratio) with whole spices; cook on low 20 min covered; rest 5 min; serve with raita and fresh mint; use only 3/4 cup rice per person"
"Mee Rebus","520","Mee Siam (less gravy)","400","120","16g","12g","2g","Thinner tamarind gravy vs thick potato gravy; more veg toppings; tangy flavour with fewer calories","Halal","Rahim Muslim Food","Amoy Street Food Centre, #02-68","Halal","Inspirasi (Mee Rebus)","Adam Road Food Centre, #01-31","Halal","Healthier Mee Siam","15 min","200g bee hoon; sauce: 2 tbsp chilli paste + 2 tbsp tamarind juice + 1 tbsp sugar + 200ml water; bean sprouts; hard-boiled egg; tau pok sliced; lime; chives; dried shrimp","Fry chilli paste with dried shrimp until fragrant; add tamarind juice sugar and water to form gravy; soak bee hoon in hot water 5 min drain; toss bee hoon in gravy until coated; top with bean sprouts sliced tau pok egg chives; squeeze lime over"
"Bak Kut Teh (Pork Ribs Soup)","480","Bak Kut Teh (Lean Pork Loin version)","320","160","30g","8g","1g","Lean pork loin instead of fatty ribs; skip the you tiao (fried dough); add more vegetables; still herbal and warming","Not Halal","Song Fa Bak Kut Teh","11 New Bridge Road, #01-01","Not Halal","Founder Bak Kut Teh","347 Balestier Road","Not Halal","Lean Pork Bak Kut Teh","10 min","300g lean pork loin (sliced); 1L water; 1 BKT spice packet (white pepper + garlic + star anise + cloves); 4 cloves garlic; 1 tbsp light soy; 1 tbsp dark soy; lettuce leaves; mushrooms","Boil water with BKT spice packet and garlic 10 min; add lean pork slices and simmer 30 min; add mushrooms last 5 min; season with soy sauces; serve with lettuce leaves on side instead of you tiao; pair with brown rice"
"Kaya Toast Set (with soft-boiled eggs + kopi)","448","Wholemeal Toast with Peanut Butter + Teh-O-Kosong","240","208","10g","10g","4g","Wholemeal bread adds fibre; no condensed milk in drink saves 100 kcal; peanut butter has healthy fats","Halal","Ya Kun Kaya Toast","Multiple outlets island-wide","Not Halal","Toast Box","Multiple outlets island-wide","Not Halal","Healthier Breakfast Toast","5 min","4 slices wholemeal bread; 2 tbsp natural peanut butter (no sugar); 1/2 banana (sliced); 2 soft-boiled eggs; teh-o-kosong (black tea no sugar)","Toast wholemeal bread until crispy; spread thin layer of peanut butter; add banana slices; soft-boil eggs 6.5 min; serve with teh-o-kosong; total set is under 250 kcal"
"Curry Chicken with Rice","650","Steamed Chicken with Brown Rice & Achar","380","270","32g","8g","4g","No coconut milk curry; steaming keeps chicken lean; achar (pickled veg) adds tangy crunch without calories","Halal","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre, #01-10","Not Halal","Ah Tai Hainanese Chicken Rice","Maxwell Food Centre, #01-07","Not Halal","Steamed Ginger Chicken with Achar","10 min","2 chicken drumsticks (skinless); 1 cup brown rice; 3 slices ginger; 1 stalk spring onion; achar: 1 cup cucumber + 1 carrot + 2 tbsp rice vinegar + 1 tsp sugar + pinch salt + sesame seeds","Rub chicken with ginger and salt; steam over boiling water 20-25 min until cooked through; cook brown rice; make achar by pickling cucumber and carrot in vinegar/sugar/salt mix 10 min; slice chicken serve over rice with achar on side"
"Char Siew Rice (BBQ Pork)","590","Lean Char Siew with Brown Rice & Greens","400","190","30g","12g","3g","Lean pork tenderloin instead of fatty belly; less sweet glaze; added vegetables for fibre","Not Halal","Char Siew Yoong","Blk 226D Ang Mo Kio Ave 1, #01-756","Not Halal","Kay Lee Roast Meat","18 Upper East Coast Road","Not Halal","Healthier Char Siew Rice","15 min","300g pork tenderloin; marinade: 2 tbsp hoisin sauce + 1 tbsp honey + 1 tbsp light soy + 1 tsp five-spice + red food colouring (optional); 1 cup brown rice; 1 cup choy sum; sesame seeds","Marinate pork 10 min (or overnight in fridge); roast at 200C for 20 min basting halfway; rest 5 min then slice; cook brown rice; blanch choy sum; assemble with sesame seeds on top"
"Fishball Noodles (Dry)","420","Fishball Noodle Soup (clear broth)","310","110","20g","6g","2g","Soup version skips oily chilli sauce dressing; clear broth is hydrating; still same bouncy fishballs","Not Halal","Song Kee Fishball Noodle","Toa Payoh Lorong 4 Hawker, #01-33","Not Halal","Li Xin Teochew Fishball Noodle","Chinatown Complex, #02-52","Not Halal","Fishball Noodle Soup","5 min","200g mee pok or mee kia; 8-10 fishballs; 100g minced pork (lean); 800ml pork/ikan bilis stock; chye sim; fried shallots; light soy sauce; white pepper","Boil stock; cook noodles 1-2 min and drain; add fishballs and minced pork to broth 3 min; add chye sim last 30 sec; place noodles in bowl ladle soup over; top with fried shallots and dash of soy"
"Fried Bee Hoon (with luncheon meat)","500","Clear Soup Bee Hoon with Sliced Fish & Veg","280","220","25g","5g","2g","No frying at all; fish provides omega-3; loaded with vegetables; very low fat","Halal","Any fish soup stall (island-wide)","Various hawker centres","Not Halal","Piao Ji Fish Porridge","Blk 352 Clementi Ave 2, #01-203","Not Halal","Fish Soup Bee Hoon","5 min","150g bee hoon; 200g red garoupa or threadfin fillet sliced; 800ml fish/ikan bilis stock; 1 tomato; 1 cup napa cabbage; ginger slices; Chinese celery; white pepper; fried garlic","Boil stock with ginger and tomato 5 min; add cabbage 2 min; gently add fish slices 2 min; soak bee hoon separately drain; assemble in bowl with stock and toppings; garnish with celery and fried garlic; season with white pepper"
"Nasi Goreng (Fried Rice Malay-style)","620","Nasi Ulam (Herb Rice)","320","300","10g","8g","5g","No frying involved; rice is mixed with fresh herbs; lots of vitamins and antioxidants; very aromatic","Halal","Hjh Maimunah","11 & 15 Jalan Pisang","Halal","Warong Nasi Pariaman","738 North Bridge Road","Halal","Nasi Ulam (Malay Herb Rice)","20 min","1.5 cups cooked jasmine rice (cooled); 1 cup mixed herbs: daun kesum (laksa leaf) + torch ginger bud + turmeric leaf + lemongrass + kaffir lime leaf (all finely sliced); 2 tbsp kerisik (toasted coconut); 1 tbsp dried shrimp (toasted); salt to taste","Cook rice and cool completely; finely shred all herbs (julienne); toast coconut flakes until golden (kerisik); toast dried shrimp; mix everything into rice gently; season with salt; serve at room temperature; pairs well with grilled fish"
"Fried Hokkien Mee","522","Stir-Fried Kway Teow with Prawns (less oil)","380","142","22g","12g","1g","Use healthier oil in smaller amount; more prawns less pork belly; still wok hei flavour","Not Halal","Kim Keat Hokkien Mee","Blk 511 Bishan St 13","Not Halal","Geylang Lor 29 Hokkien Mee","Blk 396 East Coast Road","Not Halal","Lighter Hokkien Mee","10 min","150g yellow noodles; 100g bee hoon; 200g prawns (peeled); 100g squid (sliced); 1 egg; 200ml prawn stock; 2 tbsp canola oil (instead of lard); bean sprouts; chives; sambal on side; lime","Make quick prawn stock from shells; heat wok with canola oil; fry noodles 1 min; add stock and cover 3 min; push aside crack egg stir; add prawns squid 2 min; add bean sprouts chives toss; serve with sambal and lime"
"Oyster Omelette (Or Luak)","580","Steamed Egg with Oysters & Veg","320","260","22g","14g","1g","No deep-frying starch batter; steamed egg is silky and light; oysters still provide zinc and iron","Not Halal","Ah Chuan Oyster Omelette","Blk 16 Bedok South Hawker, #01-187","Not Halal","Heng Fried Oyster","Old Airport Road Food Centre, #01-74","Not Halal","Steamed Egg with Oysters","5 min","4 eggs; 100g fresh oysters (cleaned); 200ml water or dashi stock; 1 tsp sesame oil; 1 tsp light soy; spring onion; white pepper; chilli sauce on side","Beat eggs with stock/water sesame oil and soy; pour into heatproof dish; place oysters on top; cover with foil; steam 10-12 min until just set; garnish with spring onion and white pepper; serve with chilli sauce"
"Chicken Chop Western (with fries)","780","Grilled Chicken Breast with Mashed Potato & Salad","420","360","38g","12g","4g","Grilled not battered/fried; mashed potato instead of deep-fried fries; salad adds vitamins","Halal","Astons Specialities","Multiple outlets","Not Halal","Han's","Multiple outlets","Not Halal","Grilled Chicken with Smashed Potato","10 min","2 chicken breasts; 2 medium potatoes; 1 cup mixed salad greens; 1 tomato; olive oil 1 tbsp; herbs: rosemary thyme; salt pepper; lemon wedge; 2 tbsp milk for mash","Season chicken with herbs salt pepper olive oil; grill or pan-sear 6 min per side; boil potatoes until soft and mash with milk and pinch salt; toss salad with lemon; serve together"
"Bubble Tea (Large Full Sugar)","450","Iced Green Tea (0% sugar) with Aloe Vera","80","370","1g","0g","0g","55g less sugar; green tea antioxidants; aloe vera adds texture without calories","Halal","KOI The","Multiple outlets","Halal","LiHO","Multiple outlets","Halal","DIY Green Tea with Aloe","5 min","1 green tea bag; 300ml hot water; ice; 50g aloe vera cubes (from can - rinse to remove syrup); optional: 1 tsp honey","Brew green tea 3 min; remove bag; let cool; pour over ice; rinse aloe vera cubes under water to remove syrup; add to drink; add 1 tsp honey if needed (still far less sugar than bubble tea)"
"Kopi (with condensed milk)","180","Kopi-O Kosong (black no sugar)","10","170","0g","0g","0g","Almost zero calories; no condensed milk (saves 15g sugar); same caffeine kick","Halal","Any kopitiam or hawker centre","Island-wide","Halal","Ya Kun Kaya Toast","Multiple outlets","Halal","Kopi-O Kosong","2 min","2 tbsp local roasted coffee powder (Nanyang style); hot water; kopi sock filter (or pour-over); no milk no sugar","Boil water; put coffee into sock/filter; pour water through twice for strong brew; serve black; if too bitter add tiny splash of evaporated milk (kopi-c-kosong) for 20kcal total"
"Milo Dinosaur","280","Milo Kosong (no sugar/condensed milk)","90","190","4g","2g","1g","Skip condensed milk and Milo powder topping; still chocolatey; far less sugar","Halal","Any kopitiam","Island-wide","Halal","Any hawker drinks stall","Island-wide","Halal","DIY Milo Kosong","2 min","2 tbsp Milo powder; 250ml hot water or warm low-fat milk; no sugar added","Mix Milo powder with hot water or low-fat milk; stir well; serve hot or iced; the natural malt gives enough sweetness without added sugar"
"Teh Tarik (pulled tea)","140","Teh-C Kosong (tea + evaporated milk no sugar)","60","80","2g","3g","0g","No condensed milk saves 10g sugar; evaporated milk still gives creamy texture; same tea taste","Halal","Any kopitiam or Malay food stall","Island-wide","Halal","Teh Tarik stalls at Adam Road Food Centre","Adam Road Food Centre, 2 Adam Road","Halal","Teh-C Kosong","2 min","1 tea bag or tea dust (local brand); 200ml hot water; 2 tbsp evaporated milk; no sugar","Brew tea strong in hot water 3 min; add evaporated milk; stir well; serve hot or pour over ice for iced version"
"Ice Kachang / Chendol","300","Fresh Fruit Bowl with Sago","150","150","2g","1g","3g","No syrup/gula melaka overload; fresh fruits provide natural sweetness; sago gives chewy texture without coconut milk","Halal","Mei Heong Yuen Dessert","67 Temple Street","Halal","Dessert Hut","Maxwell Food Centre","Halal","Fresh Fruit with Sago","10 min","100g sago pearls; 1 cup mixed fruits (mango watermelon honeydew); 100ml low-fat milk; 1 tsp honey; ice; mint leaves","Boil sago in water until translucent (8-10 min); rinse under cold water; cut fruits into cubes; assemble in bowl with sago and ice; drizzle low-fat milk and honey; garnish with mint"
"Goreng Pisang (Fried Banana 5pcs)","350","Grilled Banana with Peanut Butter","150","200","4g","8g","3g","No deep-frying batter; grilling caramelises natural sugars; peanut butter adds healthy fats","Halal","Any goreng pisang stall","Island-wide","Halal","Ramly Burger stalls (often have pisang)","Various pasar malam","Halal","Grilled Banana with PB","2 min","2 ripe bananas (halved lengthwise); 1 tbsp natural peanut butter; 1 tsp honey; pinch of cinnamon; sesame seeds","Halve bananas lengthwise; grill or pan-sear 2 min each side until caramelised; drizzle with peanut butter and honey; sprinkle cinnamon and sesame seeds"
