original_dish,healthier_alternative,halal_status,recipe_name,prep_time,ingredients,steps,healthy_brands_and_where_to_buy
"Satay (10 sticks with peanut sauce)","Chicken Satay (5 sticks) with Cucumber Salad","Halal","Grilled Chicken Satay (Healthier)","20 min","300g chicken breast cut into strips; 10 bamboo skewers; marinade: 1 tbsp turmeric 1 tsp cumin 1 tbsp lemongrass paste 1 tsp honey 1 tbsp light soy; cucumber-onion salad; reduced peanut dip: 2 tbsp peanut butter 1 tbsp water 1 tsp lime juice","Thread chicken onto soaked skewers; marinate 15 min; grill or pan-fry 3-4 min each side; make salad with cucumber onion and vinegar dressing; thin peanut butter with water and lime for dipping; serve 5 sticks per person with salad","Chicken: SG Fresh chicken breast (~.50) | Skewers: FairPrice bamboo skewers (~) | Peanut butter: Pic's No Sugar PB from Cold Storage (~) | Spices: Fresh turmeric/lemongrass from wet market (~)"
"Popiah (Fried Spring Roll 3pcs)","Fresh Popiah (2 rolls)","Halal","Fresh Popiah","30 min","8 fresh popiah skins; 300g jicama/turnip (shredded); 100g carrots (shredded); 100g bean sprouts; 2 eggs (scrambled); 50g dried shrimp; lettuce leaves; 2 cloves garlic; sweet sauce; chilli sauce; crushed peanuts","Stir-fry garlic then add jicama and carrots with splash of water; braise 15 min until soft; scramble eggs separately; toast dried shrimp; lay popiah skin flat add lettuce then turnip filling egg peanuts; fold sides and roll tightly; slice in half","Skin: Kway Guan Huat Fresh Popiah Skin (~) | Turnip: Fresh jicama from wet market (~) | Shrimp: FairPrice dried shrimp (~.50) | Peanuts: FairPrice crushed peanuts (~.50)"
"Fried Carrot Cake (Black)","Steamed Carrot Cake (White - less oil)","Not Halal","Steamed Radish Cake (lighter)","20 min","500g white radish (grated); 150g rice flour; 50g tapioca starch; 400ml water; 1 tsp salt; 2 tbsp dried shrimp; spring onion; 1 tbsp oil for pan (less than traditional)","Grate radish and simmer in water 10 min; mix rice flour and tapioca starch with 200ml water to form batter; combine with cooked radish; pour into oiled tray and steam 30 min; cool and slice; pan-fry lightly with egg and chai poh (preserved radish)","Radish: Fresh daikon from wet market (~.50) | Rice flour: FairPrice Rice Flour (~) | Tapioca starch: FairPrice brand (~) | Chai poh: FairPrice preserved radish (~.50)"
"Rojak (Fried Dough Fritters type)","Fruit Rojak (No Fried Dough)","Halal","Fresh Fruit & Veg Rojak","15 min","1 cup pineapple chunks; 1 cup cucumber; 1 cup jicama; 1 green mango (sliced); bean sprouts; tau pok (1 piece toasted); rojak sauce: 2 tbsp hae ko (prawn paste) + 1 tbsp lime juice + 1 tsp sugar + chilli padi; crushed peanuts","Prepare all fruits and vegetables into bite-sized pieces; toast tau pok lightly (skip you tiao); mix rojak sauce separately; toss everything together; top with crushed peanuts; serve immediately","Hae ko: Teo Heng Hae Ko from FairPrice (~) | Fruits: Fresh pineapple/mango from wet market (~-4) | Tau pok: FairPrice fried tofu puffs (~.50) | Peanuts: FairPrice crushed peanuts (~.50)"
"Nasi Briyani (Mutton)","Nasi Briyani (Grilled Chicken + less rice)","Halal","Lighter Chicken Briyani","15 min","1 cup basmati rice; 200g chicken breast; 2 tbsp yoghurt; 1 tsp garam masala; 1/2 tsp turmeric; 1 bay leaf; 2 cardamom pods; 1 cinnamon stick; 1 onion (sliced); 1 tomato; saffron strands; fresh mint; raita (yoghurt + cucumber)","Marinate chicken in yoghurt and spices 10 min; saut̩ onion until golden; add chicken and cook 5 min; add rice and water (2:1 ratio) with whole spices; cook on low 20 min covered; rest 5 min; serve with raita and fresh mint; use only 3/4 cup rice per person","Rice: India Gate Basmati Rice from Mustafa (~/kg) | Chicken: SG Fresh chicken breast (~.50) | Yoghurt: Farmers Union Greek Yoghurt (~.50) | Spices: MDH Garam Masala from Mustafa (~-5)"
"Mee Rebus","Mee Siam (less gravy)","Halal","Healthier Mee Siam","15 min","200g bee hoon; sauce: 2 tbsp chilli paste + 2 tbsp tamarind juice + 1 tbsp sugar + 200ml water; bean sprouts; hard-boiled egg; tau pok sliced; lime; chives; dried shrimp","Fry chilli paste with dried shrimp until fragrant; add tamarind juice sugar and water to form gravy; soak bee hoon in hot water 5 min drain; toss bee hoon in gravy until coated; top with bean sprouts sliced tau pok egg chives; squeeze lime over","Bee hoon: FairPrice Rice Vermicelli (~.50) | Tamarind: FairPrice Tamarind Paste (~.50) | Sambal: FairPrice Sambal Chilli (~) | Tau pok: FairPrice fried tofu puffs (~.50)"
"Bak Kut Teh (Pork Ribs Soup)","Bak Kut Teh (Lean Pork Loin version)","Not Halal","Lean Pork Bak Kut Teh","10 min","300g lean pork loin (sliced); 1L water; 1 BKT spice packet (white pepper + garlic + star anise + cloves); 4 cloves garlic; 1 tbsp light soy; 1 tbsp dark soy; lettuce leaves; mushrooms","Boil water with BKT spice packet and garlic 10 min; add lean pork slices and simmer 30 min; add mushrooms last 5 min; season with soy sauces; serve with lettuce leaves on side instead of you tiao; pair with brown rice","Pork: FairPrice Lean Pork Loin (~) | Spice packet: A1 BKT Spice Packet (~) | Soy: Kwong Cheong Thye Light+Dark Soy (~) | Mushrooms: FairPrice shiitake (~.50)"
"Kaya Toast Set (with soft-boiled eggs + kopi)","Wholemeal Toast with Peanut Butter + Teh-O-Kosong","Halal","Healthier Breakfast Toast","5 min","4 slices wholemeal bread; 2 tbsp natural peanut butter (no sugar); 1/2 banana (sliced); 2 soft-boiled eggs; teh-o-kosong (black tea no sugar)","Toast wholemeal bread until crispy; spread thin layer of peanut butter; add banana slices; soft-boil eggs 6.5 min; serve with teh-o-kosong; total set is under 250 kcal","Bread: Gardenia Wholemeal Bread (~) | Peanut butter: Pic's No Salt Smooth PB (~) | Eggs: SG Fresh Free-Range Eggs (~.50/10) | Tea: BOH Tea Bags (~)"
"Curry Chicken with Rice","Steamed Chicken with Brown Rice & Achar","Halal","Steamed Ginger Chicken with Achar","10 min","2 chicken drumsticks (skinless); 1 cup brown rice; 3 slices ginger; 1 stalk spring onion; achar: 1 cup cucumber + 1 carrot + 2 tbsp rice vinegar + 1 tsp sugar + pinch salt + sesame seeds","Rub chicken with ginger and salt; steam over boiling water 20-25 min until cooked through; cook brown rice; make achar by pickling cucumber and carrot in vinegar/sugar/salt mix 10 min; slice chicken serve over rice with achar on side","Brown rice: FairPrice Thai Brown 2.5kg (~) | Chicken: SG Fresh drumsticks (~.50) | Rice vinegar: Marukan Rice Vinegar (~) | Vegetables: Fresh cucumber/carrot (~.50)"
"Char Siew Rice (BBQ Pork)","Lean Char Siew with Brown Rice & Greens","Not Halal","Healthier Char Siew Rice","15 min","300g pork tenderloin; marinade: 2 tbsp hoisin sauce + 1 tbsp honey + 1 tbsp light soy + 1 tsp five-spice + red food colouring (optional); 1 cup brown rice; 1 cup choy sum; sesame seeds","Marinate pork 10 min (or overnight in fridge); roast at 200C for 20 min basting halfway; rest 5 min then slice; cook brown rice; blanch choy sum; assemble with sesame seeds on top","Pork: FairPrice Pork Tenderloin (~) | Sauce: Lee Kum Kee Hoisin Sauce (~) | Brown rice: FairPrice Thai Brown (~) | Choy sum: Fresh from wet market (~.50)"
"Fishball Noodles (Dry)","Fishball Noodle Soup (clear broth)","Not Halal","Fishball Noodle Soup","5 min","200g mee pok or mee kia; 8-10 fishballs; 100g minced pork (lean); 800ml pork/ikan bilis stock; chye sim; fried shallots; light soy sauce; white pepper","Boil stock; cook noodles 1-2 min and drain; add fishballs and minced pork to broth 3 min; add chye sim last 30 sec; place noodles in bowl ladle soup over; top with fried shallots and dash of soy","Fishballs: FairPrice Fresh Handmade Fishballs (~.50) | Noodles: Fresh mee pok from wet market (~.20) | Pork: FairPrice Lean Minced Pork (~.50) | Soy: Kwong Cheong Thye Light Soy (~)"
"Fried Bee Hoon (with luncheon meat)","Clear Soup Bee Hoon with Sliced Fish & Veg","Halal","Fish Soup Bee Hoon","5 min","150g bee hoon; 200g red garoupa or threadfin fillet sliced; 800ml fish/ikan bilis stock; 1 tomato; 1 cup napa cabbage; ginger slices; Chinese celery; white pepper; fried garlic","Boil stock with ginger and tomato 5 min; add cabbage 2 min; gently add fish slices 2 min; soak bee hoon separately drain; assemble in bowl with stock and toppings; garnish with celery and fried garlic; season with white pepper","Fish: Fresh garoupa/threadfin from wet market (~/300g) | Bee hoon: FairPrice Rice Vermicelli (~.50) | Vegetables: Fresh tomato/cabbage (~) | Garlic: FairPrice Fried Garlic (~.50)"
"Nasi Goreng (Fried Rice Malay-style)","Nasi Ulam (Herb Rice)","Halal","Nasi Ulam (Malay Herb Rice)","20 min","1.5 cups cooked jasmine rice (cooled); 1 cup mixed herbs: daun kesum (laksa leaf) + torch ginger bud + turmeric leaf + lemongrass + kaffir lime leaf (all finely sliced); 2 tbsp kerisik (toasted coconut); 1 tbsp dried shrimp (toasted); salt to taste","Cook rice and cool completely; finely shred all herbs (julienne); toast coconut flakes until golden (kerisik); toast dried shrimp; mix everything into rice gently; season with salt; serve at room temperature; pairs well with grilled fish","Rice: FairPrice Jasmine Rice or Brown Rice (~-6) | Herbs: Fresh daun kesum/torch ginger from Geylang Serai Market (~-3) | Coconut: FairPrice Desiccated Coconut (~) | Dried shrimp: FairPrice brand (~.50)"
"Fried Hokkien Mee","Stir-Fried Kway Teow with Prawns (less oil)","Not Halal","Lighter Hokkien Mee","10 min","150g yellow noodles; 100g bee hoon; 200g prawns (peeled); 100g squid (sliced); 1 egg; 200ml prawn stock; 2 tbsp canola oil (instead of lard); bean sprouts; chives; sambal on side; lime","Make quick prawn stock from shells; heat wok with canola oil; fry noodles 1 min; add stock and cover 3 min; push aside crack egg stir; add prawns squid 2 min; add bean sprouts chives toss; serve with sambal and lime","Noodles: Fresh yellow noodles + bee hoon from wet market (~.50 each) | Seafood: Fresh prawns + squid from wet market (~-10) | Oil: Mazola Canola Oil Healthier Choice (~) | Vegetables: Fresh bean sprouts/chives (~)"
"Oyster Omelette (Or Luak)","Steamed Egg with Oysters & Veg","Not Halal","Steamed Egg with Oysters","5 min","4 eggs; 100g fresh oysters (cleaned); 200ml water or dashi stock; 1 tsp sesame oil; 1 tsp light soy; spring onion; white pepper; chilli sauce on side","Beat eggs with stock/water sesame oil and soy; pour into heatproof dish; place oysters on top; cover with foil; steam 10-12 min until just set; garnish with spring onion and white pepper; serve with chilli sauce","Oysters: Fresh from wet market (~-6/100g) | Eggs: SG Fresh Free-Range Eggs (~.50/10) | Sesame oil: Yeo's Sesame Oil (~) | Soy: Kwong Cheong Thye Light Soy (~)"
"Chicken Chop Western (with fries)","Grilled Chicken Breast with Mashed Potato & Salad","Halal","Grilled Chicken with Smashed Potato","10 min","2 chicken breasts; 2 medium potatoes; 1 cup mixed salad greens; 1 tomato; olive oil 1 tbsp; herbs: rosemary thyme; salt pepper; lemon wedge; 2 tbsp milk for mash","Season chicken with herbs salt pepper olive oil; grill or pan-sear 6 min per side; boil potatoes until soft and mash with milk and pinch salt; toss salad with lemon; serve together","Chicken: SG Fresh chicken breast (~.50) | Potatoes: Fresh from supermarket (~) | Salad: FairPrice Mixed Salad Greens (~) | Oil: Bertolli Extra Virgin Olive Oil (~)"
"Bubble Tea (Large Full Sugar)","Iced Green Tea (0% sugar) with Aloe Vera","Halal","DIY Green Tea with Aloe","5 min","1 green tea bag; 300ml hot water; ice; 50g aloe vera cubes (from can - rinse to remove syrup); optional: 1 tsp honey","Brew green tea 3 min; remove bag; let cool; pour over ice; rinse aloe vera cubes under water to remove syrup; add to drink; add 1 tsp honey if needed (still far less sugar than bubble tea)","Tea: FairPrice Green Tea Bags (~) | Aloe vera: FairPrice Canned Aloe Vera (~.50) | Honey: Capilano Pure Honey (~) | N/A"
"Kopi (with condensed milk)","Kopi-O Kosong (black no sugar)","Halal","Kopi-O Kosong","2 min","2 tbsp local roasted coffee powder (Nanyang style); hot water; kopi sock filter (or pour-over); no milk no sugar","Boil water; put coffee into sock/filter; pour water through twice for strong brew; serve black; if too bitter add tiny splash of evaporated milk (kopi-c-kosong) for 20kcal total","Coffee: Lam Yeo Coffee Powder (~) | Kopi sock: From Mustafa Centre (~) | N/A | N/A"
"Milo Dinosaur","Milo Kosong (no sugar/condensed milk)","Halal","DIY Milo Kosong","2 min","2 tbsp Milo powder; 250ml hot water or warm low-fat milk; no sugar added","Mix Milo powder with hot water or low-fat milk; stir well; serve hot or iced; the natural malt gives enough sweetness without added sugar","Milo: Nestle Milo Powder Tin (~) | Milk: Meiji Low-Fat Milk (~.50) | N/A | N/A"
"Teh Tarik (pulled tea)","Teh-C Kosong (tea + evaporated milk no sugar)","Halal","Teh-C Kosong","2 min","1 tea bag or tea dust (local brand); 200ml hot water; 2 tbsp evaporated milk; no sugar","Brew tea strong in hot water 3 min; add evaporated milk; stir well; serve hot or pour over ice for iced version","Tea: BOH Tea Dust or Lipton (~) | Milk: Carnation Evaporated Milk (~) | N/A | N/A"
"Ice Kachang / Chendol","Fresh Fruit Bowl with Sago","Halal","Fresh Fruit with Sago","10 min","100g sago pearls; 1 cup mixed fruits (mango watermelon honeydew); 100ml low-fat milk; 1 tsp honey; ice; mint leaves","Boil sago in water until translucent (8-10 min); rinse under cold water; cut fruits into cubes; assemble in bowl with sago and ice; drizzle low-fat milk and honey; garnish with mint","Sago: FairPrice Sago Pearls (~) | Fruits: Fresh seasonal from wet market (~-5) | Milk: Meiji Low-Fat Milk (~.50) | Honey: Capilano Pure Honey (~)"
"Goreng Pisang (Fried Banana 5pcs)","Grilled Banana with Peanut Butter","Halal","Grilled Banana with PB","2 min","2 ripe bananas (halved lengthwise); 1 tbsp natural peanut butter; 1 tsp honey; pinch of cinnamon; sesame seeds","Halve bananas lengthwise; grill or pan-sear 2 min each side until caramelised; drizzle with peanut butter and honey; sprinkle cinnamon and sesame seeds","Bananas: Fresh from wet market (~-2) | Peanut butter: Pic's No Sugar PB (~) | Cinnamon: MasterFoods Cinnamon from FairPrice (~.50) | Sesame seeds: FairPrice brand (~)"
"Chwee Kueh (with preserved radish)","Chwee Kueh (less chai poh topping + chilli)","Halal","Steamed Rice Cakes (Chwee Kueh)","15 min","1 cup rice flour; 1/2 cup tapioca flour; 2 cups water; pinch salt; preserved radish (chai poh) 3 tbsp; 2 cloves garlic; 1 tbsp canola oil; chilli sauce","Mix rice flour tapioca flour water and salt until smooth; pour into small oiled moulds; steam 15-20 min; fry chai poh with garlic in minimal oil; top each kueh with small amount of chai poh; serve with chilli","Rice flour: FairPrice Rice Flour (~) | Tapioca starch: FairPrice brand (~) | Chai poh: FairPrice Preserved Radish (~.50) | Oil: Mazola Canola Oil (~)"
"Otah (6 pieces grilled)","Otak-Otak (3 pieces) + Steamed Fish","Halal","Grilled Fish + Mini Otah","10 min","200g fish fillet (ikan tenggiri/mackerel); 3 pieces store-bought otah; banana leaves; marinade: 1 tsp turmeric + 1 tbsp lemon juice + pinch salt; steamed rice","Marinate fish fillet with turmeric lemon salt; wrap in banana leaf or just grill on pan 5-6 min per side; grill otah in banana leaf wraps 5 min; serve with steamed rice and cucumber slices; 1.5 otah per person instead of 3","Fish: Fresh ikan tenggiri from wet market (~-6) | Otah: FairPrice Frozen Otah (~/pack) | Banana leaves: FairPrice Frozen Banana Leaves (~) | Turmeric: Fresh from wet market (~)"
"Nasi Padang (Rendang + Fried Chicken + Sayur)","Nasi Padang (Grilled Fish + Sayur Lodeh + Sambal)","Halal","Healthier Nasi Padang Combo","0 min","At the stall: choose grilled/panggang fish over fried; pick sayur lodeh (veg curry) or stir-fried long beans; 1 sambal egg; ask for less rice; skip bergedil (fried potato)","Point to grilled fish (ikan panggang) and say less rice; choose 1 veg curry + 1 stir-fried veg; skip fried items like bergedil tahu goreng; sambal on side; drink plain water","Brown rice: FairPrice Thai Brown 2.5kg (~) | Sambal: FairPrice Sambal Chilli (~) | Vegetables: Fresh from wet market (~-3) | N/A - order at stall"
"Chilli Crab with Mantou (2 buns)","Black Pepper Crab (no mantou)","Halal","Black Pepper Crab (lighter ver)","10 min","1 whole mud crab (600g cleaned); 2 tbsp crushed black pepper; 3 cloves garlic; 30g butter (reduced from typical 60g); 1 tbsp oyster sauce; 1 tbsp dark soy; spring onion; serve with brown rice instead of mantou","Crack crab into pieces; heat butter in wok and fry garlic black pepper 1 min; add crab pieces stir-fry 5 min; add oyster sauce dark soy and splash of water; cover and cook 8 min; garnish spring onion; serve with brown rice","Crab: Fresh mud crab from wet market (~-20) | Pepper: FairPrice Coarse Black Pepper (~) | Butter: SCS Butter (~) | Brown rice: FairPrice Thai Brown (~)"
