meal,healthier_alternative,calories_saved,calories_estimate,why_healthier,protein_g,carbs_g,fat_g,fibre_g,nutrition_analysis,meal_recommendation,halal,stall_1_name,stall_1_address,stall_2_name,stall_2_address
"Popiah (Fried Spring Roll 3pcs)","Fresh Popiah (2 rolls)","262 kcal","188 kcal","Not deep-fried at all. Fresh skin is much lower in calories and the filling is packed with turnip and vegetables for maximum fibre and nutrients.","8","28","4","5","Protein: 8g, Carbohydrates: 28g, Fat: 4g, Fibre: 5g","Good as a snack or light meal. Very low calorie option. Add chilli for flavour without extra calories.","No","Kway Guan Huat Popiah","95 Joo Chiat Road, Singapore 427389","Crispy Popiah stall","Tanjong Pagar Plaza Market, 6 Tanjong Pagar Plaza, Singapore 081006"
"Fried Carrot Cake (Black)","Steamed Carrot Cake (White - less oil)","230 kcal","250 kcal","Steamed version uses 70% less oil. The white version has no sweet dark sauce which means much lower sugar. Still satisfying and flavourful.","5","35","8","1","Protein: 5g, Carbohydrates: 35g, Fat: 8g, Fibre: 1g","Good for breakfast. Much lighter than the fried version. Pair with black coffee for energy.","No","Chai Tow Kway (Blk 16 stall)","Blk 16 Bedok South Road, Singapore 460016","He Zhong Carrot Cake","Chinatown Complex, 335 Smith Street, Singapore 050335"
"Rojak (Fried Dough Fritters type)","Fruit Rojak (No Fried Dough)","270 kcal","280 kcal","Skipping the fried you tiao dough pieces removes a lot of empty calories. The fruit and vegetable version keeps the prawn paste dressing while adding more vitamins.","6","40","8","6","Protein: 6g, Carbohydrates: 40g, Fat: 8g, Fibre: 6g","Great as an afternoon snack. Refreshing and high in antioxidants from the fresh fruit.","No","Toa Payoh Rojak","Blk 93 Toa Payoh Lorong 4, Singapore 310093","Balestier Road Hoover Rojak","685 Balestier Road, Singapore 329680"
"Nasi Briyani (Mutton)","Nasi Briyani (Grilled Chicken + less rice)","300 kcal","450 kcal","Chicken is significantly leaner than mutton. Asking for less rice and skipping the deep-fried papadum saves many calories. Keep the raita for healthy probiotics.","35","45","14","2","Protein: 35g, Carbohydrates: 45g, Fat: 14g, Fibre: 2g","Best for lunch. Ask for less rice and keep the raita which aids digestion. Skip the papadum.","Yes","Allauddin's Briyani","Tekka Centre, 665 Buffalo Road, Singapore 210665","Bismillah Briyani","50 Dunlop Street, Singapore 209379"
"Mee Rebus","Mee Siam (less gravy)","120 kcal","400 kcal","Thinner tamarind gravy replaces the thick potato-based gravy. More vegetable toppings and a tangy flavour profile with fewer overall calories.","15","52","10","2.5","Protein: 15g, Carbohydrates: 52g, Fat: 10g, Fibre: 2.5g","Good for lunch. Tangy and satisfying. Ask for less gravy to cut even more calories from the meal.","Yes","Rahim Muslim Food","Amoy Street Food Centre, 7 Maxwell Road, Singapore 069111","Inspirasi (Mee Rebus)","Adam Road Food Centre, 2 Adam Road, Singapore 289876"
"Bak Kut Teh (Pork Ribs Soup)","Bak Kut Teh (Lean Pork Loin version)","160 kcal","320 kcal","Lean pork loin instead of fatty ribs cuts saturated fat. Skipping the you tiao fried dough and adding more vegetables keeps it herbal and warming but much healthier.","30","20","10","1","Protein: 30g, Carbohydrates: 20g, Fat: 10g, Fibre: 1g","Good for dinner. Warming and comforting. Skip the you tiao to save an additional 150 kcal.","No","Song Fa Bak Kut Teh","11 New Bridge Road, Singapore 059383","Founder Bak Kut Teh","347 Balestier Road, Singapore 329773"
"Kaya Toast Set (with soft-boiled eggs + kopi)","Wholemeal Toast with Peanut Butter + Teh-O-Kosong","208 kcal","240 kcal","Wholemeal bread adds dietary fibre. No condensed milk in the drink saves about 100 kcal. Peanut butter provides healthy unsaturated fats instead of sugary kaya.","10","28","12","4","Protein: 10g, Carbohydrates: 28g, Fat: 12g, Fibre: 4g","Perfect for breakfast. Provides sustained energy from wholemeal. Pair with black coffee or plain tea.","No","Ya Kun Kaya Toast","18 China Street, Singapore 049560","Toast Box","Multiple outlets island-wide, Singapore"
"Curry Chicken with Rice","Steamed Chicken with Brown Rice and Achar","270 kcal","380 kcal","No coconut milk curry means far less saturated fat. Steaming keeps the chicken lean and achar (pickled vegetables) adds a tangy crunch without extra calories.","32","45","8","3.5","Protein: 32g, Carbohydrates: 45g, Fat: 8g, Fibre: 3.5g","Best for lunch. Achar aids digestion and brown rice keeps you full for much longer than white rice.","No","Tian Tian Hainanese Chicken Rice","Maxwell Food Centre, 1 Kadayanallur Street, Singapore 069184","Ah Tai Hainanese Chicken Rice","Maxwell Food Centre, 1 Kadayanallur Street, Singapore 069184"
"Char Siew Rice (BBQ Pork)","Lean Char Siew with Brown Rice and Greens","190 kcal","400 kcal","Lean pork tenderloin is used instead of fatty belly. Less sweet glaze reduces sugar and the added vegetables provide essential fibre and vitamins.","30","48","10","3","Protein: 30g, Carbohydrates: 48g, Fat: 10g, Fibre: 3g","Good for lunch. The lean cut saves saturated fat. Always add greens for better nutritional balance.","No","Char Siew Yoong","Blk 226D Ang Mo Kio Avenue 1, Singapore 564226","Kay Lee Roast Meat","18 Upper East Coast Road, Singapore 455205"
"Fishball Noodles (Dry)","Fishball Noodle Soup (clear broth)","110 kcal","310 kcal","Soup version skips the oily chilli sauce dressing entirely. Clear broth is hydrating and you still get the same bouncy fishball flavour.","20","38","6","1","Protein: 20g, Carbohydrates: 38g, Fat: 6g, Fibre: 1g","Good for lunch or dinner. Light and easy to digest. Request extra fishballs for more protein.","No","Song Kee Fishball Noodle","Blk 94 Toa Payoh Lorong 4, Singapore 310094","Li Xin Teochew Fishball Noodle","Chinatown Complex, 335 Smith Street, Singapore 050335"
"Fried Bee Hoon (with luncheon meat)","Clear Soup Bee Hoon with Sliced Fish and Vegetables","220 kcal","280 kcal","No frying at all. Fish provides omega-3 fatty acids and the dish is loaded with vegetables, making it very low in fat and one of the healthiest hawker options.","24","30","4","3","Protein: 24g, Carbohydrates: 30g, Fat: 4g, Fibre: 3g","Great for any meal. Very clean eating and one of the healthiest hawker food choices available.","No","Any fish soup stall","Various hawker centres island-wide, Singapore","Piao Ji Fish Porridge","Blk 352 Clementi Avenue 2, Singapore 120352"
"Nasi Goreng (Fried Rice Malay-style)","Nasi Ulam (Herb Rice)","300 kcal","320 kcal","No frying is involved at all. Rice is mixed with fresh aromatic herbs providing lots of vitamins and antioxidants. Very aromatic and satisfying without the oil.","10","48","5","4","Protein: 10g, Carbohydrates: 48g, Fat: 5g, Fibre: 4g","Best for lunch. Very aromatic and satisfying. The herbs provide anti-inflammatory health benefits.","Yes","Hjh Maimunah","11 and 15 Jalan Pisang, Singapore 199078","Warong Nasi Pariaman","738 North Bridge Road, Singapore 198706"
"Fried Hokkien Mee","Stir-Fried Kway Teow with Prawns (less oil)","142 kcal","380 kcal","Uses healthier oil in a smaller amount with more prawns and less pork belly. Still delivers the satisfying wok hei flavour with much less saturated fat.","22","42","12","1.5","Protein: 22g, Carbohydrates: 42g, Fat: 12g, Fibre: 1.5g","Good for lunch. Ask for less oil when ordering. Still satisfying with the classic wok hei flavour.","No","Kim Keat Hokkien Mee","Blk 511 Bishan Street 13, Singapore 570511","Geylang Lor 29 Hokkien Mee","396 East Coast Road, Singapore 428994"
"Oyster Omelette (Or Luak)","Steamed Egg with Oysters and Vegetables","260 kcal","320 kcal","No deep-frying of starch batter at all. Steamed egg is silky and light while oysters still provide zinc and iron for nutrition.","22","18","14","2","Protein: 22g, Carbohydrates: 18g, Fat: 14g, Fibre: 2g","Good for dinner. Oysters are nutrient-dense and steaming preserves all their valuable minerals.","No","Ah Chuan Oyster Omelette","Blk 16 Bedok South Road, Singapore 460016","Heng Fried Oyster","Old Airport Road Food Centre, 51 Old Airport Road, Singapore 390051"
"Chicken Chop Western (with fries)","Grilled Chicken Breast with Mashed Potato and Salad","360 kcal","420 kcal","Grilled instead of battered and fried. Mashed potato replaces deep-fried fries and a fresh salad adds essential vitamins and minerals.","38","35","12","3","Protein: 38g, Carbohydrates: 35g, Fat: 12g, Fibre: 3g","Great for lunch or dinner. High protein supports muscle building, making it a good post-gym meal.","No","Astons Specialities","68 Orchard Road, Plaza Singapura, Singapore 238839","Han's","Multiple outlets island-wide, Singapore"
"Bubble Tea (Large Full Sugar)","Iced Green Tea (0% sugar) with Aloe Vera","370 kcal","80 kcal","Saves 55g of sugar per drink. Green tea is rich in antioxidants and aloe vera adds texture and chewiness without any extra calories.","0","18","0","1","Protein: 0g, Carbohydrates: 18g, Fat: 0g, Fibre: 1g","Drink anytime as a great afternoon pick-me-up. Zero guilt and aids metabolism naturally.","Yes","KOI The","Multiple outlets island-wide, Singapore","LiHO","Multiple outlets island-wide, Singapore"
"Kopi (with condensed milk)","Kopi-O Kosong (black no sugar)","170 kcal","10 kcal","Almost zero calories. Removing condensed milk saves 15g of sugar while delivering the same caffeine kick and coffee aroma.","0","0","0","0","Protein: 0g, Carbohydrates: 0g, Fat: 0g, Fibre: 0g","Best in the morning. Boosts metabolism naturally. Drink before a workout for an energy boost.","Yes","Any kopitiam or hawker centre","Island-wide, Singapore","Ya Kun Kaya Toast","18 China Street, Singapore 049560"
"Milo Dinosaur","Milo Kosong (no sugar or condensed milk)","190 kcal","90 kcal","Skipping condensed milk and the Milo powder topping removes most of the sugar. Still chocolatey and satisfying with far less calories.","4","14","2","1","Protein: 4g, Carbohydrates: 14g, Fat: 2g, Fibre: 1g","Good for breakfast or after a meal. Still satisfies chocolate cravings without the sugar overload.","Yes","Any kopitiam","Island-wide, Singapore","Any hawker drinks stall","Island-wide, Singapore"
"Teh Tarik (pulled tea)","Teh-C Kosong (tea + evaporated milk no sugar)","80 kcal","60 kcal","Removing condensed milk saves 10g of sugar. Evaporated milk still provides a creamy texture with the same authentic tea taste.","2","6","2","0","Protein: 2g, Carbohydrates: 6g, Fat: 2g, Fibre: 0g","Good anytime, especially paired with meals. Creamy taste without the heavy sugar load.","Yes","Any kopitiam or Malay food stall","Island-wide, Singapore","Teh Tarik stalls at Adam Road Food Centre","Adam Road Food Centre, 2 Adam Road, Singapore 289876"
"Ice Kachang / Chendol","Fresh Fruit Bowl with Sago","150 kcal","150 kcal","No syrup or gula melaka overload. Fresh fruits provide natural sweetness and sago gives a chewy texture without the need for coconut milk.","2","34","1","3","Protein: 2g, Carbohydrates: 34g, Fat: 1g, Fibre: 3g","Best as an afternoon dessert. Refreshing and natural sugars provide energy without a sugar crash.","Yes","Mei Heong Yuen Dessert","67 Temple Street, Singapore 058611","Dessert Hut","Maxwell Food Centre, 1 Kadayanallur Street, Singapore 069184"
"Goreng Pisang (Fried Banana 5pcs)","Grilled Banana with Peanut Butter","200 kcal","150 kcal","No deep-frying batter at all. Grilling caramelises the natural sugars in the banana and peanut butter adds healthy unsaturated fats.","4","22","6","3","Protein: 4g, Carbohydrates: 22g, Fat: 6g, Fibre: 3g","Good as a snack or dessert. Potassium from banana helps muscle recovery and provides a natural energy boost.","Yes","Any goreng pisang stall","Island-wide, Singapore","Ramly Burger stalls (often have pisang)","Various pasar malam locations, Singapore"
"Chwee Kueh (with preserved radish)","Chwee Kueh (less chai poh topping + chilli)","40 kcal","180 kcal","Asking for less preserved radish reduces sodium significantly. Using more chilli for flavour instead keeps it tasty. Already one of the lighter hawker choices.","3","35","4","0.5","Protein: 3g, Carbohydrates: 35g, Fat: 4g, Fibre: 0.5g","Good for breakfast. Already one of the lightest hawker foods available. Watch the sodium from chai poh.","No","Jian Bo Shui Kueh","Tiong Bahru Market, 30 Seng Poh Road, Singapore 168898","Bedok Chwee Kueh","Blk 16 Bedok South Road, Singapore 460016"
"Otah (6 pieces grilled)","Otak-Otak (3 pieces) + Steamed Fish","80 kcal","280 kcal","Half portion of otah with added steamed fish provides more protein with less coconut milk filler. Still delivers the signature smoky flavour.","26","12","12","1","Protein: 26g, Carbohydrates: 12g, Fat: 12g, Fibre: 1g","Good as a side dish or light dinner. High protein and low carb, making it ideal for those watching carb intake.","No","328 Katong Laksa (sells otah)","51 East Coast Road, Singapore 428770","Kim Choo Kueh Chang (otah)","60 Joo Chiat Place, Singapore 427784"
"Nasi Padang (Rendang + Fried Chicken + Sayur)","Nasi Padang (Grilled Fish + Sayur Lodeh + Sambal)","350 kcal","500 kcal","Grilled fish instead of fried chicken is much leaner. Sayur lodeh has less coconut milk than rendang while still delivering authentic Padang-style flavour.","30","50","16","3","Protein: 30g, Carbohydrates: 50g, Fat: 16g, Fibre: 3g","Best for lunch. Choose grilled over fried proteins. Ask for more vegetables and less rice to balance the meal.","Yes","Hjh Maimunah","11 and 15 Jalan Pisang, Singapore 199078","Warong Nasi Pariaman","738 North Bridge Road, Singapore 198706"
"Chilli Crab with Mantou (2 buns)","Black Pepper Crab (no mantou)","270 kcal","480 kcal","Skipping the deep-fried mantou buns alone saves 200 kcal. Black pepper sauce is lighter than chilli-tomato sauce. Still indulgent but significantly better.","35","20","22","1","Protein: 35g, Carbohydrates: 20g, Fat: 22g, Fibre: 1g","Best as a special occasion dinner. Share with others and skip the mantou buns to keep calories down.","No","Mellben Signature","Blk 232 Ang Mo Kio Avenue 3, Singapore 560232","No Signboard Seafood","414 Geylang Road, Singapore 389392"
"Pig Organ Soup (Kway Chap)","Sliced Pork Soup with Kway Teow (lean cuts)","200 kcal","350 kcal","Choosing lean cuts only without intestines or skin and using a flat noodle soup base. Skipping braised fatty bits significantly reduces saturated fat.","28","35","10","1","Protein: 28g, Carbohydrates: 35g, Fat: 10g, Fibre: 1g","Good for lunch. Choose lean cuts only and enjoy the warming soup which is hydrating and satisfying.","No","Blk 335 Kway Chap","Chinatown Complex, 335 Smith Street, Singapore 050335","Toa Payoh Kway Chap","Blk 93 Toa Payoh Lorong 4, Singapore 310093"
"Laksa (full coconut)","Mee Siam (Dry less gravy)","310 kcal","370 kcal","No coconut milk at all. Tamarind-based sauce is tangy instead of fatty with lighter noodles. Still packs a serious flavour punch without the heavy calories.","14","50","8","2","Protein: 14g, Carbohydrates: 50g, Fat: 8g, Fibre: 2g","Good for lunch. Tangy and appetising, much lighter than laksa. Ask for less gravy to reduce even more calories.","Yes","Sungei Road Laksa","27 Jalan Berseh, Singapore 200027","Marine Parade Laksa","50 East Coast Road, Singapore 428769"
"Sup Kambing (Mutton Soup with bread)","Sup Ayam (Chicken Soup with wholemeal bread)","230 kcal","320 kcal","Chicken is much leaner than mutton. Wholemeal bread instead of white adds dietary fibre. Still warm, comforting, and well-spiced.","28","30","8","3","Protein: 28g, Carbohydrates: 30g, Fat: 8g, Fibre: 3g","Best for dinner. Warming and comforting. Wholemeal bread provides sustained energy compared to white bread.","Yes","Kambing Soup stall","Tekka Centre, 665 Buffalo Road, Singapore 210665","Adam Road Sup Kambing","Adam Road Food Centre, 2 Adam Road, Singapore 289876"
"Dim Sum (Har Gow + Siew Mai + Char Siew Bao = 6pcs)","Steamed Dim Sum (Crystal Dumplings + Chee Cheong Fun)","180 kcal","300 kcal","Sticking to steamed items only and skipping baked or fried pieces. Chee cheong fun is very low calorie and portion control keeps the meal light.","16","40","8","1.5","Protein: 16g, Carbohydrates: 40g, Fat: 8g, Fibre: 1.5g","Good for breakfast or brunch. Stick to steamed items only and practise portion control for best results.","No","Swee Choon Tim Sum","183-193 Jalan Besar, Singapore 208882","Red Star Restaurant","54 Chin Swee Road, Singapore 160054"
"Mee Pok Dry (with vinegar chilli)","Mee Pok Soup (less oil)","110 kcal","330 kcal","Soup version eliminates the chilli oil and vinegar dressing entirely. Still flavourful with lean pork and bouncy fishballs in a clear broth.","20","40","8","1.5","Protein: 20g, Carbohydrates: 40g, Fat: 8g, Fibre: 1.5g","Good for lunch. Soup version is gentler on the stomach while keeping the same great noodle texture.","No","Seng Kee Mushroom Minced Meat Noodle","Blk 253 Ang Mo Kio Avenue 4, Singapore 560253","Tai Hwa Pork Noodle","466 Crawford Lane, Singapore 190466"
"Ngoh Hiang (Five Spice Rolls 5pcs fried)","Steamed Ngoh Hiang (homemade less oil)","170 kcal","280 kcal","Steaming instead of deep-frying removes excess oil. Homemade version allows control of fat content. Beancurd skin still gives crunch when lightly pan-seared.","20","18","12","1","Protein: 20g, Carbohydrates: 18g, Fat: 12g, Fibre: 1g","Good as an appetiser or snack. Homemade version is much healthier. Pair with chilli sauce for flavour.","No","House of Ngoh Hiang","Old Airport Road Food Centre, 51 Old Airport Road, Singapore 390051","Guan Chee Ngoh Hiang","96 Whampoa Drive, Singapore 320096"
"Curry Puff (3 pieces)","Steamed Chicken Pau (2 pieces)","200 kcal","240 kcal","Steamed instead of deep-fried pastry means far less oil absorbed. Chicken filling is leaner and the pau is still savoury, filling, and portable.","14","32","6","1","Protein: 14g, Carbohydrates: 32g, Fat: 6g, Fibre: 1g","Good for breakfast or as a snack. Portable and filling with much less oil than a curry puff.","No","Old Chang Kee","Multiple outlets island-wide, Singapore","Tiong Bahru Pau","Tiong Bahru Market, 30 Seng Poh Road, Singapore 168898"
"Iced Lemon Tea (sweetened hawker)","Iced Barley Water (less sugar homemade)","120 kcal","60 kcal","Barley is naturally sweet so minimal added sugar is needed. Homemade allows control of sweetness. Cooling and good for digestion.","0","14","0","1","Protein: 0g, Carbohydrates: 14g, Fat: 0g, Fibre: 1g","Drink anytime. The cooling effect is perfect for hot weather and barley is good for digestion.","Yes","Any drinks stall","Island-wide, Singapore","Various hawker centres","Island-wide, Singapore"
"Sugarcane Juice (large)","Coconut Water (fresh young coconut)","140 kcal","60 kcal","Natural electrolytes with no added sugar at only 60 kcal per coconut. Very hydrating and acts as a natural isotonic drink.","0","12","0","0","Protein: 0g, Carbohydrates: 12g, Fat: 0g, Fibre: 0g","Best after exercise or in hot weather. A natural isotonic drink that is great for rehydration.","Yes","Any sugarcane juice stall","Island-wide, Singapore","Old Airport Road drinks stalls","Old Airport Road Food Centre, 51 Old Airport Road, Singapore 390051"
